name,rating,address,phone,website,email,maps_link,source_query
"Continuum Digital | Expert Website, Mobile App Developers & Digital Marketers",4.9,"
1 Concorde Gate Suite #702, Toronto, ON M3C 3N6, Canada","
+1 437-887-1014",https://continuumdigital.ca/?utm_source=google&utm_medium=googlemybusinesscanada&utm_campaign=gmb,"info@continuumdigital.ca>info@continuumdigital.ca</a></p><p><b>Skype: </b><a
href=; info@continuumdigital.ca","https://www.google.com/maps/place/Continuum+Digital+%7C+Expert+Website,+Mobile+App+Developers+%26+Digital+Marketers/data=!4m7!3m6!1s0x882b49efb7246919:0x82174175ca064651!8m2!3d43.7289033!4d-79.3292719!16s%2Fg%2F11bwl3nsqm!19sChIJGWkkt-9JK4gRUUYGynVBF4I?authuser=0&hl=en&rclk=1",software company in toronto
TheAppLabb,4.9,"
439 University Ave #1701, Toronto, ON M5G 1Y8, Canada","
+1 416-745-3164",http://theapplabb.com/,,https://www.google.com/maps/place/TheAppLabb/data=!4m7!3m6!1s0x882b3500a91a632f:0x71aafccba617c3d6!8m2!3d43.6544437!4d-79.3875061!16s%2Fg%2F1ptw1dh64!19sChIJL2MaqQA1K4gR1sMXpsv8qnE?authuser=0&hl=en&rclk=1,software company in toronto
I Can Infotech - AI-Driven Mobile App & Web Development Company based in Canada,4.9,"
1 University Ave, Toronto, ON M5J 1T1, Canada","
+1 647-232-9742",https://icaninfotechh.com/,,https://www.google.com/maps/place/I+Can+Infotech+-+AI-Driven+Mobile+App+%26+Web+Development+Company+based+in+Canada/data=!4m7!3m6!1s0x882b34d30a900001:0x2f91106f02264a3b!8m2!3d43.6458008!4d-79.3831159!16s%2Fg%2F11rkmr1xzz!19sChIJAQCQCtM0K4gRO0omAm8QkS8?authuser=0&hl=en&rclk=1,software company in toronto
Cority Software Inc.,4.9,"
121 King St W Suite 810, Toronto, ON M5H 3T9, Canada","
+1 800-276-9120",https://www.cority.com/,tsavo.neal@cority.com,https://www.google.com/maps/place/Cority+Software+Inc./data=!4m7!3m6!1s0x882b335c8e2ed2b7:0x5f47f53e58bf1735!8m2!3d43.6476464!4d-79.383028!16s%2Fg%2F1tdcg_d7!19sChIJt9IujlwzK4gRNRe_WD71R18?authuser=0&hl=en&rclk=1,software company in toronto
UUUSoftware.com,4.9,"
121 Richmond St W #638, Toronto, ON M5H 2K1, Canada","
+1 647-894-6457",https://uuusoftware.com/,andrey.a@uuusoftware.com; contact@uuusoftware.com,https://www.google.com/maps/place/UUUSoftware.com/data=!4m7!3m6!1s0x882b35d55e87798d:0x83efcf19b3993eea!8m2!3d43.6503164!4d-79.3842467!16s%2Fg%2F11gxcs7m46!19sChIJjXmHXtU1K4gR6j6ZsxnP74M?authuser=0&hl=en&rclk=1,software company in toronto
Oprim Inc. | Software Development Company | App Development,4.9,"
18 King St E Suite 1400, Toronto, ON M5C 1C4, Canada","
+1 833-556-7746",http://oprim.ca/,,https://www.google.com/maps/place/Oprim+Inc.+%7C+Software+Development+Company+%7C+App+Development/data=!4m7!3m6!1s0x89d4cb7bf89ce35d:0xf45c078e47c08671!8m2!3d43.6496485!4d-79.3770896!16s%2Fg%2F11nx23kpzw!19sChIJXeOc-HvL1IkRcYbAR44HXPQ?authuser=0&hl=en&rclk=1,software company in toronto
"Jellyfish Technologies: Mobile App & Software Development Company Toronto, Canada",4.9,"
18 King St E Suite #1400, Toronto, ON M5C 1C4, Canada","
+1 801-477-4541",https://www.jellyfishtechnologies.com/?utm_source=GMB&utm_medium=Local+Map&utm_campaign=SEO&utm_id=Canada,enquiry@jellyfishtechnologies.com; hr@jellyfishtechnologies.com,"https://www.google.com/maps/place/Jellyfish+Technologies:+Mobile+App+%26+Software+Development+Company+Toronto,+Canada/data=!4m7!3m6!1s0x89d4cb92de3aa5b5:0x60e27d9318aa353!8m2!3d43.6496485!4d-79.3770896!16s%2Fg%2F11y8rqdksp!19sChIJtaU63pLL1IkRU6OKMdknDgY?authuser=0&hl=en&rclk=1",software company in toronto
Constellation Software Inc,4.9,"
Toronto-Dominion Centre, 66 Wellington St W Suite 5300, Toronto, ON M5K 1E6, Canada","
+1 416-861-2279",https://www.csisoftware.com/,info@csisoftware.com,https://www.google.com/maps/place/Constellation+Software+Inc/data=!4m7!3m6!1s0x89d4cb3256fb5fc3:0x6740fa0efca38fec!8m2!3d43.6508605!4d-79.3776406!16s%2Fg%2F1hc25hnr6!19sChIJw1_7VjLL1IkR7I-j_A76QGc?authuser=0&hl=en&rclk=1,software company in toronto
Crawford Technologies,4.9,"
20 Bay Street Suite 1105 Toronto, Ontario Canada, M5J 2N8, Toronto, ON M4T 1N5, Canada","
+1 416-923-0080",https://www.crawfordtech.com/,,https://www.google.com/maps/place/Crawford+Technologies/data=!4m7!3m6!1s0x882b334ff7f3490f:0x98867b85114e0f18!8m2!3d43.64168!4d-79.377878!16s%2Fg%2F1tgq78mg!19sChIJD0nz908zK4gRGA9OEYV7hpg?authuser=0&hl=en&rclk=1,software company in toronto
Knovatek Inc,4.9,"
1275 Finch Ave W UNIT 811, North York, ON M3J 2G5, Canada","
+1 416-219-6011",https://knovatekinc.com/,amitgarg87@gmail.com; info@knovatekinc.com,https://www.google.com/maps/place/Knovatek+Inc/data=!4m7!3m6!1s0x882b3af8c8f15557:0xb277cf4b7cf3a79f!8m2!3d43.7639355!4d-79.4875244!16s%2Fg%2F11fj5llqml!19sChIJV1XxyPg6K4gRn6fzfEvPd7I?authuser=0&hl=en&rclk=1,software company in toronto
SOBOFT Technology,4.9,"
125-720 King St W Suite 2000, Toronto, ON M5V 2W8, Canada","
+1 226-780-8889",https://soboft.com/about.aspx,info@soboft.com,https://www.google.com/maps/place/SOBOFT+Technology/data=!4m7!3m6!1s0x882b3510bf154a17:0xd399c17aaf29a13!8m2!3d43.6439342!4d-79.4042388!16s%2Fg%2F11pxs72q5k!19sChIJF0oVvxA1K4gRE5ryqhecOQ0?authuser=0&hl=en&rclk=1,software company in toronto
Vog App Developers,4.9,"
180 John St, Toronto, ON M5T 1X5, Canada","
+1 844-992-2777",https://vogtorontoappdevelopers.com/,,https://www.google.com/maps/place/Vog+App+Developers/data=!4m7!3m6!1s0x882b352d5740c5c7:0x87a7a18cdd5d402b!8m2!3d43.6506942!4d-79.3918249!16s%2Fg%2F11q8x1vlh3!19sChIJx8VAVy01K4gRK0Bd3Yyhp4c?authuser=0&hl=en&rclk=1,software company in toronto
BitsWits - Mobile App Development Company Toronto,4.9,"
512 Wellington St W, Toronto, ON M5V 0K8, Canada","
+1 833-500-6007",https://www.bitswits.co/app-development-company-toronto?utm_source=google&utm_medium=gmb&utm_campaign=gmb_toronto&utm_id=4,info@bitswits.co,https://www.google.com/maps/place/BitsWits+-+Mobile+App+Development+Company+Toronto/data=!4m7!3m6!1s0x882b35bff96b15d9:0x186386bc76d28b40!8m2!3d43.6434404!4d-79.3992322!16s%2Fg%2F11w2zvv6_t!19sChIJ2RVr-b81K4gRQIvSdryGYxg?authuser=0&hl=en&rclk=1,software company in toronto
Mobile App Development Company - Appstudio,4.9,"
18 King St E 14th Floor, Toronto, ON M5C 1C4, Canada","
+1 800-352-9138",https://www.appstudio.ca/?utm_campaign=22110788-GMB%20Listing&utm_source=GMB%20Appstudio&utm_medium=referral&utm_term=Appstudio%20GMB%20Toronto,,https://www.google.com/maps/place/Mobile+App+Development+Company+-+Appstudio/data=!4m7!3m6!1s0x882b34afa42d0f23:0x4c901a7bde4c9225!8m2!3d43.6496485!4d-79.3770895!16s%2Fg%2F11f048t70q!19sChIJIw8tpK80K4gRJZJM3nsakEw?authuser=0&hl=en&rclk=1,software company in toronto
Webzian Digital Services | Top Software Development Company in Canada | IT Company,4.9,"
185 Bridgeland Ave, North York, ON M6A 2V1, Canada","
+1 905-809-9603",https://webzian.com/,info@webzian.com,https://www.google.com/maps/place/Webzian+Digital+Services+%7C+Top+Software+Development+Company+in+Canada+%7C+IT+Company/data=!4m7!3m6!1s0x882b33cbb0f597e5:0x55269f9c123fa28f!8m2!3d43.7237342!4d-79.4659137!16s%2Fg%2F11rrp2krkw!19sChIJ5Zf1sMszK4gRj6I_EpyfJlU?authuser=0&hl=en&rclk=1,software company in toronto
DivNotes Inc.,4.9,"
250 Yonge St #2201, Toronto, ON M5H 2S6, Canada","
+1 844-433-8669",https://divnotes.com/,sales@divnotes.com; example@gmail.com,https://www.google.com/maps/place/DivNotes+Inc./data=!4m7!3m6!1s0x882b34e8e5c2472b:0x4d48ea9266b66b26!8m2!3d43.6542706!4d-79.3807208!16s%2Fg%2F11c30rgb3m!19sChIJK0fC5eg0K4gRJmu2ZpLqSE0?authuser=0&hl=en&rclk=1,software company in toronto
Mobile App Development Company Toronto,4.9,"
151 Yonge St 10th floor, Toronto, ON M5C 2W7, Canada","
+1 855-556-6566",https://trangotech.com/mobile/app-development-company-toronto/?utm_source=toronto+gmb&utm_id=gmb&utm_term=gmb-organic,abc@example.com,https://www.google.com/maps/place/Mobile+App+Development+Company+Toronto/data=!4m7!3m6!1s0x89d4cb8659c039fd:0x2033f2a2f1aca588!8m2!3d43.6514203!4d-79.3784399!16s%2Fg%2F11w59jml0s!19sChIJ_TnAWYbL1IkRiKWs8aLyMyA?authuser=0&hl=en&rclk=1,software company in toronto
Konverge Digital Solutions,4.9,"
400 University Ave, Toronto, ON M5G 1S5, Canada","
+1 416-640-2345",https://www.konverge.com/,,https://www.google.com/maps/place/Konverge+Digital+Solutions/data=!4m7!3m6!1s0x882b34cedd0438e7:0xaf90916797f18616!8m2!3d43.6534773!4d-79.388308!16s%2Fg%2F1thq5y1g!19sChIJ5zgE3c40K4gRFobxl2eRkK8?authuser=0&hl=en&rclk=1,software company in toronto
Nivida Software,4.9,"
305 Privilege Avenue, Sarabhai campus, opp. Isha Hospital, Vadiwadi, Vadodara, Gujarat 390023","
081400 88833",https://www.nividasoftware.com/,hr@nividasoftware.com; sales@nivida.in,https://www.google.com/maps/place/Nivida+Software/data=!4m7!3m6!1s0x395fc8acd8cf46b9:0x723f7644fed20f8a!8m2!3d22.317558!4d73.1667321!16s%2Fg%2F1tdz7tlm!19sChIJuUbP2KzIXzkRig_S_kR2P3I?authuser=0&hl=en&rclk=1,software company in toronto
iTechnoSol Inc.,4.9,"
Samanvay Sliver Besides, Hotel Royal Orchid, 801-802, Mujmahuda Rd, Pratham Avenue, Akota, Vadodara, Gujarat 390007","
097220 14000",http://www.itechnosol.com/,info@itechnosol.com,https://www.google.com/maps/place/iTechnoSol+Inc./data=!4m7!3m6!1s0x395fc8b03346ff83:0x7947f167b6e5fa2b!8m2!3d22.28623!4d73.1690163!16s%2Fg%2F11b7803km3!19sChIJg_9GM7DIXzkRK_rltmfxR3k?authuser=0&hl=en&rclk=1,software company in toronto
Guarana Technologies,4.9,"
Bank of Canada Building, 250 University Ave Suite 200, Toronto, ON M5H 3E5, Canada","
+1 647-559-3001",https://www.guarana-technologies.com/,usa@guarana-technologies.com; montreal@guarana-technologies.com,https://www.google.com/maps/place/Guarana+Technologies/data=!4m7!3m6!1s0x882b34ce10da8e23:0x58c26a561b600d4a!8m2!3d43.6503269!4d-79.3869347!16s%2Fg%2F11g7p8qz8w!19sChIJI47aEM40K4gRSg1gG1Zqwlg?authuser=0&hl=en&rclk=1,software company in toronto
Bloorsoft,4.9,"
361 Front St W, Toronto, ON M5V 3R5, Canada","
+1 647-403-1747",https://www.bloorsoft.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11309854050917568586,,https://www.google.com/maps/place/Bloorsoft/data=!4m7!3m6!1s0x882b3593cd00adc7:0xc943806437615aa0!8m2!3d43.6430542!4d-79.391635!16s%2Fg%2F11shy3qfbk!19sChIJx60AzZM1K4gRoFphN2SAQ8k?authuser=0&hl=en&rclk=1,software company in toronto
WebDesk Solution Limited,4.9,"
150 King St W, Toronto, ON M5H 1J9, Canada","
+1 647-547-2249",https://webdesksolution.com/,,https://www.google.com/maps/place/WebDesk+Solution+Limited/data=!4m7!3m6!1s0x882b15d1f78deb31:0x5bae7f960f4d30da!8m2!3d43.6481325!4d-79.3846555!16s%2Fg%2F11h193vr81!19sChIJMeuN99EVK4gR2jBND5Z_rls?authuser=0&hl=en&rclk=1,software company in toronto
Autodesk Technology Centre Toronto,4.9,"
661 University Ave, Toronto, ON M5G 1M1, Canada","
+1 416-362-9181",Not Available,,https://www.google.com/maps/place/Autodesk+Technology+Centre+Toronto/data=!4m7!3m6!1s0x89d4cb3a75d096a5:0x9662e12e982ee5a8!8m2!3d43.6596356!4d-79.3898587!16s%2Fg%2F1hc0y5pfk!19sChIJpZbQdTrL1IkRqOUumC7hYpY?authuser=0&hl=en&rclk=1,software company in toronto
Nulogy Corporation,4.9,"
480 University Ave #1200, Toronto, ON M5G 1V2, Canada","
+1 416-204-0427",https://nulogy.com/,,https://www.google.com/maps/place/Nulogy+Corporation/data=!4m7!3m6!1s0x882b34ddfd737a4f:0x5e3ca23e5195a7a2!8m2!3d43.6550684!4d-79.3888854!16s%2Fg%2F11bxg3821m!19sChIJT3pz_d00K4gRoqeVUT6iPF4?authuser=0&hl=en&rclk=1,software company in toronto
ITnsify - Software Company.,4.9,"
1 University Ave 5th floor, Toronto, ON M5J 1T1, Canada","
+1 437-970-7100",Not Available,,https://www.google.com/maps/place/ITnsify+-+Software+Company./data=!4m7!3m6!1s0x882b35e4eca29f87:0xeb8c7a5f5d318a18!8m2!3d43.6458066!4d-79.3830865!16s%2Fg%2F11jpl8d3fl!19sChIJh5-i7OQ1K4gRGIoxXV96jOs?authuser=0&hl=en&rclk=1,software company in toronto
Humber Software Services Inc.,4.9,"
140 Yonge St #200, Toronto, ON M5C 1X6, Canada","
+1 647-366-9533",http://humbersoft.ca/,info@humbersoft.ca,https://www.google.com/maps/place/Humber+Software+Services+Inc./data=!4m7!3m6!1s0x89d4cb32d9255555:0xc305c60bf097b2ed!8m2!3d43.6511154!4d-79.3790974!16s%2Fg%2F11c1s3n6vr!19sChIJVVUl2TLL1IkR7bKX8AvGBcM?authuser=0&hl=en&rclk=1,software company in toronto
"Quartex Software - Toronto, Canada",4.9,"
14 Duncan St Suite 200, Toronto, ON M5H 3G8, Canada","
+1 416-305-6753",https://quartexsoftware.com/,sales@quartexsoftware.com; &#115;&#097;le&#115;&#064;qu&#097;rtex&#115;&#111;&#102;t&#119;a&#114;e.&#099;om,"https://www.google.com/maps/place/Quartex+Software+-+Toronto,+Canada/data=!4m7!3m6!1s0x882b34d263aaaaab:0x4b8ee2b556aa67de!8m2!3d43.6476917!4d-79.3887456!16s%2Fg%2F11hd4_k7xx!19sChIJq6qqY9I0K4gR3meqVrXijks?authuser=0&hl=en&rclk=1",software company in toronto
SideFX Software,4.9,"
123 Front St W, Toronto, ON M5J 2M3, Canada","
+1 416-504-9876",https://www.sidefx.com/,media@sidefx.com,https://www.google.com/maps/place/SideFX+Software/data=!4m7!3m6!1s0x882b34dc6eccc719:0x591237c0e6d1e23c!8m2!3d43.6449952!4d-79.3831614!16s%2Fg%2F1vqmj_mh!19sChIJGcfMbtw0K4gRPOLR5sA3Elk?authuser=0&hl=en&rclk=1,software company in toronto
Clipwire Games,4.9,"
296 Richmond St W, Toronto, ON M5V 1X2, Canada",Not Available,https://www.clipwiregames.com/,,https://www.google.com/maps/place/Clipwire+Games/data=!4m7!3m6!1s0x89d4cb3157d731b5:0x26e32d8f42151017!8m2!3d43.6492195!4d-79.391517!16s%2Fg%2F11jwl_bsls!19sChIJtTHXVzHL1IkRFxAVQo8t4yY?authuser=0&hl=en&rclk=1,software company in toronto
Check Point Software Tech Inc,4.9,"
150 King St W 23rd floor, Toronto, ON M5H 1J9, Canada",Not Available,https://www.checkpoint.com/,,https://www.google.com/maps/place/Check+Point+Software+Tech+Inc/data=!4m7!3m6!1s0x882b473b287e3351:0x48a40c9f90679f27!8m2!3d43.6481442!4d-79.3844618!16s%2Fg%2F11b5wkr61v!19sChIJUTN-KDtHK4gRJ59nkJ8MpEg?authuser=0&hl=en&rclk=1,software company in toronto
